ID,Case,Degree,Gender,Inflection_Class,Mood,Number,Part_of_Speech,Person,Tense,Voice,Comment,Source
0,,,,,,,Preposition,,,,,
1,,,,3,Indicative,Singular,Verb,First,Present,Active,,
2,,,,3,Indicative,Singular,Verb,Third,Present,Active,,
3,Nominative,,Feminine,3,,Singular,Noun,,,,,
4,Genitive,,Feminine,3,,Singular,Noun,,,,,
5,Nominative,,Masculine,3,,Singular,Noun,,,,,
6,Genitive,,Masculine,3,,Singular,Noun,,,,,
7,,,,2,Indicative,Singular,Verb,First,Present,Active,,
8,,,,2,Indicative,Singular,Verb,Third,Present,Active,,
9,Nominative,Positive,Masculine,2,,Singular,Adjective,,,,,
10,Genitive,Positive,Masculine,2,,Singular,Adjective,,,,,
11,Nominative,,Feminine,4,,Singular,Noun,,,,,
12,Genitive,,Feminine,4,,Singular,Noun,,,,,
13,Nominative,,Neuter,3,,Singular,Noun,,,,,
14,Genitive,,Neuter,3,,Singular,Noun,,,,,
15,Nominative,,Masculine,4,,Singular,Noun,,,,,
16,Genitive,,Masculine,4,,Singular,Noun,,,,,
17,Nominative,,Neuter,2,,Singular,Noun,,,,,
18,Genitive,,Neuter,2,,Singular,Noun,,,,,
19,,,,1,Indicative,Singular,Verb,First,Present,Active,,
20,,,,1,Indicative,Singular,Verb,Third,Present,Active,,
21,Nominative,,Masculine,2,,Singular,Noun,,,,,
22,Genitive,,Masculine,2,,Singular,Noun,,,,,
23,Nominative,Positive,Masculine/Feminine,3,,Singular,Adjective,,,,,
24,Genitive,Positive,Masculine/Feminine,3,,Singular,Adjective,,,,,
25,Nominative,Positive,Masculine,2,,Singular,Participle,,Perfect,Passive,,
26,Genitive,Positive,Masculine,2,,Singular,Participle,,Perfect,Passive,,
27,,,,Special,Indicative,Singular,Verb,First,Present,Active,,
28,,,,Special,Indicative,Singular,Verb,Third,Present,Active,,
29,,Positive,,,,,Adverb,,,,,
30,Nominative,Positive,Masculine,Special,,Singular,Adjective,,,,,
31,Nominative,,Feminine,2,,Singular,Noun,,,,,
32,Genitive,,Feminine,2,,Singular,Noun,,,,,
33,,,,,,,Conjunction,,,,,
34,Nominative,,Feminine,1,,Singular,Noun,,,,,
35,Genitive,,Feminine,1,,Singular,Noun,,,,,
36,,,,4,Indicative,Singular,Verb,First,Present,Active,,
37,,,,4,Indicative,Singular,Verb,Third,Present,Active,,
38,,,,2,Indicative,Singular,Verb,First,Perfect,Active,,
39,Nominative,Positive,Masculine,3,,Singular,Adjective,,,,,
40,Genitive,Positive,Masculine,3,,Singular,Adjective,,,,,
41,Nominative,,Masculine/Feminine,3,,Singular,Noun,,,,,
42,Genitive,,Masculine/Feminine,3,,Singular,Noun,,,,,
43,,,,3,Indicative,Singular,Verb,First,Present,Deponent,,
44,,,,3,Indicative,Singular,Verb,Third,Present,Deponent,,
45,,,,3,Imperative,Singular,Verb,Second,Present,Active,,
46,,,,,,,Numeral,,,,,
47,,,,3,Imperative,Plural,Verb,Second,Present,Active,,
48,Nominative,Positive,Any,3,,Singular,Adjective,,,,,
49,Genitive,Positive,Any,3,,Singular,Adjective,,,,,
50,,,,1,Indicative,Singular,Verb,First,Present,Deponent,,
51,,,,1,Indicative,Singular,Verb,Third,Present,Deponent,,
52,Genitive,,Any,Special,,Singular,Pronoun,,,,,
53,Accusative,,Masculine,2,,Singular,Noun,,,,,
54,Nominative,,Masculine,2,,Plural,Noun,,,,,
55,Dative,,Masculine,2,,Plural,Noun,,,,,
56,,,,3,Indicative,Singular,Verb,First,Perfect,Active,,
57,Nominative,,Masculine/Neuter,Special,,Plural,Numeral,,,,,
58,Nominative,,Any,Special,,Singular,Pronoun,,,,,
59,Nominative,Superlative,Masculine,2,,Singular,Adjective,,,,,
60,Nominative,,Feminine,5,,Singular,Noun,,,,,
61,,,,2,Indicative,Singular,Verb,First,Present,Deponent,,
62,,,,2,Indicative,Singular,Verb,Third,Present,Deponent,,
63,Nominative,Positive,Masculine,2,,Singular,Participle,,Perfect,Deponent,,
64,Genitive,Positive,Masculine,2,,Singular,Participle,,Perfect,Deponent,,
65,Nominative,,Feminine,3,,Plural,Noun,,,,,
66,Genitive,,Feminine,3,,Plural,Noun,,,,,
67,,,,Special,Indicative,Singular,Verb,First,Perfect,Active,,
68,,,,Special,Indicative,Singular,Verb,Third,Perfect,Active,,
69,Nominative,,Neuter,4,,Singular,Noun,,,,,
70,Genitive,,Neuter,4,,Singular,Noun,,,,,
71,Nominative,,Masculine,1,,Singular,Noun,,,,,
72,Genitive,,Masculine,1,,Singular,Noun,,,,,
73,Nominative,,Masculine,Special,,Singular,Pronoun,,,,,
74,Nominative,,Masculine,Special,,Singular,Noun,,,,,
75,Nominative,Positive,Any,3,,Singular,Participle,,Present,Active,,
76,Genitive,Positive,Any,3,,Singular,Participle,,Present,Active,,
77,Nominative,,Neuter,Special,,Singular,Noun,,,,,
78,Nominative,,Neuter,Special,,Plural,Noun,,,,,
79,Nominative,Comparative,Masculine/Feminine,3,,Singular,Adjective,,,,,
80,Genitive,Comparative,Masculine/Feminine,3,,Singular,Adjective,,,,,
81,,Comparative,,,,,Adverb,,,,,
82,,,,4,Indicative,Singular,Verb,First,Present,Deponent,,
83,,,,4,Indicative,Singular,Verb,Third,Present,Deponent,,
84,Nominative,Positive,Masculine,2,,Singular,Determiner,,,,,
85,Genitive,Positive,Masculine,2,,Singular,Determiner,,,,,
86,Dative,,Masculine,Special,,Singular,Pronoun,,,,,
87,Nominative,,Feminine,1,,Plural,Noun,,,,,
88,Genitive,,Feminine,1,,Plural,Noun,,,,,
89,Any,,Any,Special,,Singular,Numeral,,,,,
90,Nominative,,Neuter,2,,Plural,Noun,,,,,
91,Genitive,,Neuter,2,,Plural,Noun,,,,,
92,Nominative,,Any,Special,,Plural,Pronoun,,,,,
93,Nominative,,Masculine/Feminine,1,,Singular,Noun,,,,,
94,Genitive,,Masculine/Feminine,1,,Singular,Noun,,,,,
95,Nominative,Comparative,Neuter,3,,Singular,Adjective,,,,,
