ID,Language_ID,Parameter_ID,Gloss_ID,Tag_ID,Form,Segments,Comment,Source
0,1,0,,0,ab,a b,,
1,2,0,,,ap,a p,,
2,1,1,,1,abduːcoː,a b d uː c oː,,
3,1,1,,2,abduːcit,a b d uː c i t,,
4,2,1,,,abdoukoː,a b d ou k oː,,
5,2,1,,,abdouketi,a b d ou k e t i,,
6,1,2,,3,abieːs,a b i eː s,,
7,1,2,,4,abietis,a b i e t i s,,
8,2,2,,,abjets,a b j e t s,,
9,2,2,,,abjetes,a b j e t e s,,
10,1,3,,0,abs,a b s,,
11,2,3,,,aps,a p s,,
12,1,4,0,5,accipiter,a c c i p i t e r,,
13,1,4,0,6,accipitris,a c c i p i t r i s,,
14,2,4,0,,akupetris,a k u p e t r i s,,
15,2,4,0,,akupetres,a k u p e t r e s,,
16,1,5,,7,aceoː,a c e oː,,
17,1,5,,8,acet,a c e t,,
18,2,5,,,akeːjoː,a k eː j oː,,
19,2,5,,,akeːjeti,a k eː j e t i,,
20,1,6,,9,acerbus,a c e r b u s,,
21,1,6,,10,acerbiː,a c e r b iː,,
22,2,6,,,akriðos,a k r i ð o s,,
23,2,6,,,akriðiː,a k r i ð iː,,
24,1,7,,11,acus,a c u s,,
25,1,7,,12,acuːs,a c uː s,,
26,2,7,,,akus,a k u s,,
27,2,7,,,akuos,a k u o s,,
28,1,8,,13,acus,a c u s,,
29,1,8,,14,aceris,a c e r i s,,
30,2,8,,,akos,a k o s,,
31,2,8,,,akezes,a k e z e s,,
32,1,9,,0,ad,a d,,
33,2,9,,,ad,a d,,
34,1,10,1,13,ador,a d o r,,
35,1,10,1,14,adoris,a d o r i s,,
36,2,10,1,,ados,a d o s,,
37,2,10,1,,adoːs,a d oː s,,
38,2,10,1,,adoses,a d o s e s,,
39,2,10,1,,adoːses,a d oː s e s,,
40,1,11,,1,advertoː,a d v e r t oː,,
41,1,11,,2,advertit,a d v e r t i t,,
42,2,11,,,adwertoː,a d w e r t oː,,
43,2,11,,,adwerteti,a d w e r t e t i,,
44,1,12,2,3,aedis,ae d i s,,
45,1,12,2,4,aedis,ae d i s,,
46,2,12,2,,aiðes,ai ð e s,,
47,2,12,2,,aiðes,ai ð e s,,
48,1,13,,5,aediːlis,ae d iː l i s,,
49,1,13,,6,aediːlis,ae d iː l i s,,
50,2,13,,,aiðiːlis,ai ð iː l i s,,
51,2,13,,,aiðiːles,ai ð iː l e s,,
52,1,14,,9,aeger,ae g e r,,
53,1,14,,10,aegriː,ae g r iː,,
54,2,14,,,aigros,ai g r o s,,
55,2,14,,,aigriː,ai g r iː,,
56,1,15,,9,aemulus,ae m u l u s,,
57,1,15,,10,aemuliː,ae m u l iː,,
58,2,15,,,aimelos,ai m e l o s,,
59,2,15,,,aimeliː,ai m e l iː,,
60,1,16,,9,aequus,ae qu u s,,
61,1,16,,10,aequiː,ae qu iː,,
62,2,16,,,aikʷos,ai kʷ o s,,
63,2,16,,,aikʷiː,ai kʷ iː,,
64,1,17,,13,aes,ae s,,
65,1,17,,14,aeris,ae r i s,,
66,2,17,,,ajos,a j o s,,
67,2,17,,,ajezes,a j e z e s,,
68,1,18,3,3,aestaːs,ae s t aː s,,
69,1,18,3,4,aestaːtis,ae s t aː t i s,,
70,2,18,3,,aissaːts,ai s s aː t s,,
71,2,18,3,,aissaːtes,ai s s aː t e s,,
72,1,19,4,15,aestus,ae s t u s,,
73,1,19,4,16,aestuːs,ae s t uː s,,
74,2,19,4,,aissus,ai s s u s,,
75,2,19,4,,aisswos,ai s s w o s,,
76,1,20,,3,aetaːs,ae t aː s,,
77,1,20,,4,aetaːtis,ae t aː t i s,,
78,2,20,,,aiwotaːts,ai w o t aː t s,,
79,2,20,,,aiwotaːtes,ai w o t aː t e s,,
80,1,21,,17,aevum,ae v u m,,
81,1,21,,18,aeviː,ae v iː,,
82,2,21,,,aiwom,ai w o m,,
83,2,21,,,aiwiː,ai w iː,,
84,1,22,5,9,aeːnus,a eː n u s,,
85,1,22,5,10,aeːniː,a eː n iː,,
86,2,22,5,,aeznos,a e z n o s,,
87,2,22,5,,ajesnos,a j e s n o s,,
88,2,22,5,,aezniː,a e z n iː,,
89,2,22,5,,ajesniː,a j e s n iː,,
90,1,23,6,19,affectoː,a f f e c t oː,,
91,1,23,6,20,affectat,a f f e c t a t,,
92,2,23,6,,adfaktajoː,a d f a k t a j oː,,
93,2,23,6,,adfaktajeti,a d f a k t a j e t i,,
94,1,24,,1,afficioː,a f f i c i oː,,
95,1,24,,2,afficit,a f f i c i t,,
96,2,24,,,adfakjoː,a d f a k j oː,,
97,2,24,,,adfakjeti,a d f a k j e t i,,
98,1,25,,21,ager,a g e r,,
99,1,25,,22,agriː,a g r iː,,
100,2,25,,,agros,a g r o s,,
101,2,25,,,agriː,a g r iː,,
102,1,26,,23,agilis,a g i l i s,,
103,1,26,,24,agilis,a g i l i s,,
104,2,26,,,agelis,a g e l i s,,
105,2,26,,,ageles,a g e l e s,,
106,1,27,,3,agilitaːs,a g i l i t aː s,,
107,1,27,,4,agilitaːtis,a g i l i t aː t i s,,
108,2,27,,,agelitaːts,a g e l i t aː t s,,
109,2,27,,,agelitaːtes,a g e l i t aː t e s,,
110,1,28,,21,aŋnus,a ŋ n u s,,
111,1,28,,22,aŋniː,a ŋ n iː,,
112,2,28,,,agʷnos,a gʷ n o s,,
113,2,28,,,agʷniː,a gʷ n iː,,
114,1,29,,1,agoː,a g oː,,
115,1,29,,2,agit,a g i t,,
116,2,29,,,agoː,a g oː,,
117,2,29,,,ageti,a g e t i,,
118,1,30,,25,actus,a c t u s,,
119,1,30,,26,actiː,a c t iː,,
120,2,30,,,agtos,a g t o s,,
121,2,30,,,agtiː,a g t iː,,
122,1,31,,27,aioː,a i oː,,
123,1,31,,28,ait,a i t,,
124,2,31,,,agjoː,a g j oː,,
125,2,31,,,agjeti,a g j e t i,,
126,1,32,,9,albus,a l b u s,,
127,1,32,,10,albiː,a l b iː,,
128,2,32,,,alβos,a l β o s,,
129,2,32,,,alβiː,a l β iː,,
130,1,33,,29,aliorsum,a l i o r s u m,,
131,2,33,,,aljoworssom,a l j o w o r s s o m,,
132,1,34,7,30,alius,a l i u s,,
133,2,34,7,,aljos,a l j o s,,
134,1,35,,31,alnus,a l n u s,,
135,2,35,,,alznos,a l z n o s,,
136,1,36,,1,aloː,a l oː,,
137,1,36,,2,alit,a l i t,,
138,2,36,,,aloː,a l oː,,
139,2,36,,,aleti,a l e t i,,
140,1,37,,9,altus,a l t u s,,
141,1,37,,10,altiː,a l t iː,,
