ID,Analogy,Archaism,Borrowing,Dead,Inflection,Morphology,Paradigm,Phonology,Remodeling,Comment,Source
0,True,False,False,False,False,False,False,False,False,[Analogy] Apparently *acip- > *accip- by analogy with accipere.,
1,False,False,False,False,False,False,True,False,False,"[Paradigm] The reason Wiktionary gives two versions is because there is some doubt about the original form. Probably it was the collective ado:s. Both quantities are attested in the gen. (adoris, ado:ris).",
2,False,False,False,False,False,False,False,False,False,There is also a nom. sg. aede:s.,
3,True,False,False,False,False,False,False,False,False,[Analogy] Inherited -st- became -ss- but was in some places restored to -st- by analogy (so the going theory).,
4,True,False,False,False,False,False,False,False,False,[Analogy] Inherited -st- became -ss- but was in some places restored to -st- by analogy (so the going theory).,
5,False,False,True,False,False,False,False,False,False,"[Borrowing] *ajos, ajes may be the protoform, which is one way of accounting for the hiatus. This could be an Umbrian loan word.",
6,False,False,False,False,False,False,False,False,False,"Relevant to all 1st conjugation verbs, the outcome of -ajo: should be -a:. -o: was imported into the first conjugation by analogy to other conjugations.",
7,False,False,False,False,False,False,False,False,False,"The genitive is irregular, so it wasn't included. So for totus, ullus, unus, etc.",
8,False,False,False,False,False,False,False,True,False,"[Phonology] This form has a rare metathesis (-lv- > -ul-), as does parvus (-ur- > -rv-, the mirror image change).",
9,False,False,False,False,False,False,False,False,False,"This is apparently in origin an adjective that in principle could refer to anything 'cut on both sides,' but it ends up only as a neuter noun, so I would reconstruct the neuter only.",
10,False,False,False,False,False,False,False,False,False,s > z /_vd. That should probably be reconstructed for P. Ital.,
11,False,False,False,False,False,False,False,False,True,"[Remodeling] Latin made the inherited s-stem into an a-stem, probably because of the fem. gender of the IE word. That is, auro:ra is not the result of phonological change.",
12,True,False,False,False,False,False,False,False,False,[Analogy] The -is gen. sg. of the i- stems is usually explained as a borrowing from the consonant stems. Sihler argues that *oys was replaced in L. by *yes which (on his view) became *is by normal phonetic processes.,
13,True,False,False,False,False,False,False,False,False,"[Analogy] *ha:ns is the IE nom, and the paradigm would have been n *ha:ns, g *ha:nsos, a *ha:nesm, but by the time of Latin the g & a have been conflated to produce a stem ha:nses- which becomes ha:nser- and takes over. In short, the Latin nom. is an analogical, not a phonological, product.",
